sku,name,price
800663,Ampolla Crescina Tratamiento Completo Dama 1300 20 Unidades,$11.900
800657,Ampolla Crescina Tratamiento Completo Caballero 200 20 Unidades,$5.900
57994,Hidratante Facial Dermaglos Piel Seca 70 G,$901
880776,Bagovit Reafirmante Efecto Tensor 350 G,$871
777452,Aceite Klorane De Mango 100 Ml,$937
800656,Shampoo Crescina Re-crecimiento Caballero 200 Ml,$1.600
510223,Fortalecedor De Uñas Isdin Si Nails Varnish 2.5 Ml,$2.916
779366,Acondicionador Vichy Dercos Energizante 200 Ml,$663
800658,Ampolla Crescina Transdérmica Caballero 500 20 Unidades,$9.400
800660,Ampolla Crescina Tratamiento Completo Dama 500 20 Unidades,$8.900
800659,Ampolla Crescina Transdérmica Dama 500 20 Unidades,$9.400
71995,Emulsión Bagovit A 200 G,$611
800759,Ampolla Crescina Transdérmica Dama 200 20 Unidades,$5.900
800662,Ampolla Crescina Transdérmica Caballero 1300 20 Unidades,$12.300
800758,Ampolla Crescina Transdérmica Caballero 200 20 Unidades,$5.900
86473,Balsamo Klorane Lino 200 Ml,$848
800961,Ampolla Crescina Tratamiento Completo Caballero 500 20 Unidades,$8.900
800760,Ampolla Crescina Tratamiento Completo Dama 200 20 Unidades,$5.900
69237,Crema A-derma Control Exomega 400 Ml,$2.518
801061,Ampolla Crescina Transdérmica Caballero 1300 20 Unidades,$11.900
69100,Crema La Roche Posay Cicaplast Manos 50 Ml,$1.100
801060,Ampolla Crescina Transdérmica Dama 1300 Ml,$12.300
65485,Aceite De Baño A-derma Exomega 200 Ml,$934
58470,Klorane Shampoo Seco Avena 150 Ml,$870
86615,Shampoo Klorane Fibras De Lino 200 Ml,$627
68580,Shampoo Eucerin Dermo Capillaire Gel Anti Caspa 250 Ml,$1.142
278362,Balsamo Klorane Quinina 200 Ml,$848
91518,Crema Bagovit A Cuidados Cotidianos 350 G,$871
57215,Shampoo Klorane Mango 400 Ml,$919
512122,Protector Solar Isis Pharma Uveblock Spf 50 Mineral Color 40 G,$1.535
57212,Shampoo Klorane Avena 400 Ml,$920
252934,Protector Solar Avene Fluido Matte Con Color Spf 50+ 50 Ml,$1.639
252633,Protector Solar Avene Fluido Ultra Matte Spf 30 50 Ml,$1.604
589924,Balsamo Avene Trixera Nutrición 400 Ml,$2.296
589926,Shampoo Klorane Centaurea 400 Ml,$919
589925,Hidratante Corporal Avene Trixera Nutrición Leche 400 Ml,$2.296
91082,Bálsamo Klorane Granada 200 Ml,$848
760810,Crema De Manos Eucerin Antipigmento 75 Ml,$1.182
91061,Balsamo Avene Xeracalm Defi 200 Ml,$2.134
90365,Emulsión Bagovit A Piel Extra Seca 350 G,$871
854813,Exfoliante Natura Siberica Facial 150 Ml,$895
493260,Agua Micelar Vichy Piel Mixta Grasa 200m,$893
15497,Leche Desmaquillante Avene 200 Ml,$1.677
89496,Loción Limpiadora E Hidratante Cerave 473ml,$1.020
533533,Espuma Eucerin Dermato Clean Micelar,$1.390
58325,Crema La Roche Posay Effaclar M 40 Ml,$2.550
818007,Kiehl's Men Facial Fuel Energizing Cleanser 250 Ml,$1.640
817932,Kiehl's Rare Earth Deep Pore Daily Cleanser 150 Ml,$1.900
47630,Aceite De Ducha Eucerin Ph5 200 Ml,$941
817925,Kiehl's Calendula Deep Cleansing Foaming Face Wash 230 Ml,$2.290
10830,Desmaquillante Vichy Pureté Thermale 3 En 1 200 Ml,$985
42643,Emulsión Dermur De Limpieza 150 Ml,$790
84927,Loción Micellar Avene Cleanance 400 Ml,$1.865
76856,Agua Micellar Eucerin 3 En 1 200 Ml,$1.397
729254,Limpiador Facial Anti-rugosidades Cerave 236ml,$825
434664,Tonico Isispharma Aquaruboril 250 Ml,$1.385
817939,Kiehl's Calendula Herbal-extract Alcohol-free Toner 500 Ml,$4.020
302321,Agua Termal La Roche Posay 300 Ml,$2.000
41357,Crema Eucerin Facial Antienrojecimiento 50 Ml,$2.448
73766,Gel Purete Thermal Nettovant 200 Ml,$985
817936,Kiehl's Calendula Herbal-extract Alcohol-free Toner 250 Ml,$2.620
817933,Kiehl's Ultra Facial Cleanser 150 Ml,$1.890
63744,Gel Dermur Espuma Purificante 150 Ml,$908
23012,Tonico Normaderm Astringente 200 Ml,$900
85048,Gel De Limpieza La Roche Posay Effaclar Gel Pieles Grasas 400 Ml,$1.900
817926,Kiehl's Calendula Herbal-extract Alcohol-free Toner 125 Ml,$1.640
88916,Gel Limpiador Eucerin Dermopure Oil Control 200 Ml,$1.024
523328,Gel De Limpieza La Roche Posay Effaclar Duo+ Clean 400 Ml,$1.900
10834,Agua Termal Vichy Mineralizante Brumisateur,$700
818008,Kiehl's Facial Fuel Energizing Scrub 100 Ml,$1.530
42644,Emulsión De Limpieza Dermur 250 Ml,$1.147
817317,Desmaquillarte Dermaglos De Ojos 100 Ml,$608
817978,Kiehl'snightly Refiningmicro-peel Concentrate 30 Ml,$3.600
493160,Agua Micelar Vichy Piel Sensible 200 Ml,$893
41658,Solución La Roche Posay Miscellaire Physiologique 200 Ml,$2.200
80165,Espuma De Limpieza Avene Matificante 150 Ml,$1.654
729354,Crema Limpiadora Espuma Hidratante Cerave 236ml,$725
817937,Kiehl's Ultra Facial Toner 250 Ml,$1.400
37555,Leche Dermaglos Limpieza 200 Ml,$955
48792,Crema Matías González Humectante Aloe/manzana 250 Ml,$540
73792,Mousse Vichy Purete Thermale 150 Ml,$920
817989,Kiehl's Ultra Light Daily Uv Defense Facial Sunscreen Spf50+ 30 Ml,$1.960
817990,Kiehl's Ultra Light Daily Uv Defense Facial Sunscreen Spf50+ 60 Ml,$3.000
46188,Crema Revitalift Stimulisft Día 50 Ml,$1.269
817967,Kiehl's Midnight Recovery Concentrat 15 ml,$1.900
870660,Crema Cicatricure Anti-age Fps50 50 G,$1.049
866835,Gel Facial Neutrogena Hydroboost Fps25 40 G,$918
875770,Crema Facial Clinique Moisture Surge 125 Ml,$3.260
868138,Sérum L'oreal Revitalift Retinol 30 Ml,$1.889
865632,Serum Isdin Flavo-c Forte 5.3 ml,$4.763
853822,Sérum Facial Natura Siberica Anti-ox Bifásico 30 Ml,$1.197
863124,Sérum Lancôme Rénergie Triple Edición Limitada 50 Ml,$4.050
856917,Aceite Facial Cryosmetics Noche 30 Ml,$1.950
856816,Aceite Facial Cryosmetics Día 30 Ml,$2.100
830207,Gel Crema Revitalift Con Acido Hialurónico Antibrillo 50 Ml,$1.319
91675,Sérum Moisture Surge Hydrating Supercharged Concentrate,$3.350
848814,Crema Lancôme Genifique Barrier Night 50 Ml,$5.245
83733,Loción Dramatically Different Moisturizing Lotion+,$2.400
854615,Crema Facial Natura Siberica Hidratante Con Brillo Fps20 50 Ml,$1.431
614861,Crema Payot Roselift Collagene Regard 15 Ml,$2.490
675977,Crema Facial Nivea Rose Care Bruma 150 Ml,$597
763518,Agua Micelar Pond's Aloe 300 Ml,$208
824308,Crema Varens Beaute Facial Piel Radiante Vitamina C&e 40 Ml,$775
817944,Kiehl's Retinol Skin-renewing Daily Micro-dose Sérum 30 Ml,$4.250
89174,Concentrado Matías González Enriquecido Acido Hialurónico 15cc,$1.231
82823,Contorno De Ojos All About Eyes Rich,$2.800
91026,Crema Nivea Face Cuidado Nutritivo 100 Ml,$552
314545,Crema Noche L'oréal Paris Revitalift Acido Hialurónico 50 Ml,$1.319
501597,Pg Skinfood Cr Hidratante P.norm 200 Ml,$349
612947,Roll On Cicatricure Gold Duo Ojos Y Labios 15 Ml,$1.342
42937,Emulsión Matías González Humectante Vitamina A 140 Cc,$711
30903,Contorno De Ojos Renergie Yeux 15 Ml,$4.190
33410,Crema Pond's S Humectante Nutritiva 50 G,$391
801161,Hidratante Facial Neutrogena Matte 3en1 100 G,$600
827408,Crema Esfumel Plus 20 G,$2.606
33404,Crema Pond's Biohydratante 100 G,$590
306930,Crema Lancôme Absolue Pc Soft 60 Ml,$11.535
383922,Crema Veganis Facial Día 30 Ml,$580
605006,Sérum Payot Pate Grise Concentrado 30 Ml,$2.360
65485,Aceite De Baño A-derma Exomega 200 Ml,$934
54394,Loción Dermur Manzanilla 130 Ml,$945
69100,Crema La Roche Posay Cicaplast Manos 50 Ml,$1.100
54353,Desodorante Dermur Anhydral 50 G,$707
461591,Sérum Facial L'oréal Revitalift Acido Hialurónico Antiarrugas,$1.499
44905,Emulsión Dermaglos 400 Ml,$1.836
69237,Crema A-derma Control Exomega 400 Ml,$2.518
71995,Emulsión Bagovit A 200 G,$611
51076,Desodorante La Roche Posay Physiologique Aerosol 150 Ml,$1.150
90365,Emulsión Bagovit A Piel Extra Seca 350 G,$871
51802,Crema Eucerin Ph5 75 G,$1.077
91061,Balsamo Avene Xeracalm Defi 200 Ml,$2.134
91518,Crema Bagovit A Cuidados Cotidianos 350 G,$871
33337,Loción Eucerin Ph5 250 Ml,$1.462
510223,Fortalecedor De Uñas Isdin Si Nails Varnish 2.5 Ml,$2.916
760810,Crema De Manos Eucerin Antipigmento 75 Ml,$1.182
91060,Aceite Avene Xeracalm 400 Ml,$1.814
91050,Loción Eucerin Ph5 Ligera 400 Ml,$2.142
361215,Leche Ducray Corporal Ictyane 400 Ml,$1.291
76544,Crema Isispharma Secalia Ultra,$1.855
589924,Balsamo Avene Trixera Nutrición 400 Ml,$2.296
29035,Antitranspirante Biotherm Homme Day Control Stick 50 Ml,$2.200
589925,Hidratante Corporal Avene Trixera Nutrición Leche 400 Ml,$2.296
502996,Loción Eucerin Urea Repair 10% 400 Ml,$2.534
81818,Crema Dermur Dermo Active Repair 400 Ml,$1.804
550846,Crema Dermaglos Corporal Hidratante 200 G,$1.009
533433,Crema Eucerin Ph5 Intensiva 450 Ml,$1.947
23785,Emulsión Corporal Dermaglos Hidratación Profunda 300 Ml,$1.209
15357,Loción Lactibon 120 Ml,$829
11309,Loción Avene Limpieza Pieles Intolerantes 200 Ml,$1.788
602288,Crema De Baño Isispharma Secalia 200 Ml,$1.035
612855,Crema Eucerin Ph5 Advanced Repair 450 Ml,$2.633
89499,Crema Cerave Renovadora De Pies88 Ml,$580
12478,Leche La Roche Posay Lipikar 200 Ml,$1.750
